epoch,train accuracy,test accuracy,time per epoch
0,0.7755376,0.78526646,0.07380342483520508
1,0.7755376,0.78526646,0.039893388748168945
2,0.7755376,0.78526646,0.03889584541320801
3,0.7755376,0.78526646,0.03989291191101074
4,0.7755376,0.78526646,0.03989362716674805
5,0.7755376,0.78526646,0.039893150329589844
6,0.7755376,0.78526646,0.040915489196777344
7,0.77755374,0.7946708,0.040609121322631836
8,0.7822581,0.80407524,0.039893150329589844
9,0.7923387,0.81661445,0.03889584541320801
10,0.8064516,0.8291536,0.03792142868041992
11,0.80846775,0.8322884,0.03887319564819336
12,0.8407258,0.8495298,0.039893388748168945
13,0.8461022,0.8557994,0.03889632225036621
14,0.85819894,0.8683386,0.038895368576049805
15,0.85685486,0.8683386,0.038498878479003906
16,0.859543,0.86990595,0.03989291191101074
17,0.8655914,0.8761755,0.05132317543029785
18,0.86491936,0.87304074,0.04288530349731445
19,0.86626345,0.8761755,0.04188823699951172
20,0.8689516,0.88087773,0.039893388748168945
21,0.8655914,0.87931037,0.04089045524597168
22,0.86760753,0.88557994,0.03989362716674805
23,0.8716398,0.88557994,0.038895368576049805
24,0.8689516,0.88557994,0.042885541915893555
25,0.87231183,0.8871473,0.03989362716674805
26,0.87231183,0.8840125,0.03989291191101074
27,0.87432796,0.89341694,0.03889608383178711
28,0.8770161,0.89341694,0.03889584541320801
29,0.8763441,0.89811915,0.03992271423339844
30,0.8783602,0.8996865,0.038866281509399414
31,0.8797043,0.8965517,0.03989386558532715
32,0.8770161,0.89028215,0.03889656066894531
33,0.88239247,0.8965517,0.038895606994628906
34,0.88709676,0.8965517,0.03889608383178711
35,0.88844085,0.8965517,0.03992104530334473
36,0.8844086,0.8965517,0.03886771202087402
37,0.8864247,0.8949843,0.03889656066894531
38,0.8830645,0.9028213,0.03889584541320801
39,0.8877688,0.8949843,0.03989267349243164
40,0.88978493,0.89811915,0.03989410400390625
41,0.88709676,0.8996865,0.03889584541320801
42,0.890457,0.8965517,0.039893150329589844
43,0.8877688,0.89811915,0.036900997161865234
44,0.8924731,0.8965517,0.03889608383178711
45,0.89180106,0.8965517,0.04046773910522461
46,0.890457,0.8996865,0.03789877891540527
47,0.88978493,0.9028213,0.03789806365966797
48,0.89180106,0.8965517,0.03841567039489746
49,0.8924731,0.89811915,0.0388951301574707
50,0.8924731,0.90125394,0.03789877891540527
