epoch,train_acc,train_cost,test_acc
0,0.0988,2.3028069,0.093
1,0.1266,2.2913413,0.1365
2,0.1377,2.2826388,0.1475
3,0.1491,2.2739835,0.16
4,0.1586,2.2655025,0.1665
5,0.1748,2.2559423,0.174
6,0.1991,2.2459903,0.1965
7,0.2166,2.2359672,0.2195
8,0.2149,2.2248347,0.21
9,0.2302,2.2129328,0.224
10,0.2245,2.200602,0.222
11,0.2368,2.1861687,0.231
12,0.2433,2.1709032,0.232
13,0.2504,2.1549888,0.249
14,0.2551,2.1377614,0.2485
15,0.2557,2.120634,0.2465
16,0.2795,2.1038043,0.2795
17,0.276,2.086247,0.276
18,0.2793,2.069294,0.271
19,0.2735,2.052747,0.266
20,0.2891,2.0431094,0.2835
21,0.2948,2.0286498,0.293
22,0.2887,2.0142074,0.2805
23,0.2983,2.0028517,0.289
24,0.2863,1.9950371,0.289
25,0.2982,1.9879125,0.2905
26,0.2946,1.9767039,0.291
27,0.3036,1.9683484,0.3015
28,0.3071,1.9616871,0.3
29,0.2977,1.9653935,0.2875
30,0.31,1.9504795,0.298
31,0.3114,1.9450791,0.3055
32,0.3081,1.9414482,0.298
33,0.3162,1.9300433,0.304
34,0.3236,1.9242114,0.3165
35,0.3206,1.9210477,0.311
36,0.3279,1.9169674,0.312
37,0.3243,1.9086553,0.3245
38,0.325,1.9048553,0.32
39,0.3296,1.8968968,0.3205
40,0.3205,1.9057263,0.312
41,0.3243,1.8977422,0.3215
42,0.3337,1.8854616,0.3305
43,0.3326,1.8781834,0.3285
44,0.3415,1.8727758,0.328
45,0.3453,1.8622067,0.3375
46,0.332,1.8680303,0.331
47,0.348,1.8511283,0.339
48,0.3428,1.8473412,0.3265
49,0.3523,1.8405715,0.339
50,0.3475,1.8398105,0.3385
51,0.3573,1.8307824,0.3445
52,0.3538,1.8300418,0.345
53,0.3566,1.8210639,0.353
54,0.3585,1.8209696,0.3465
55,0.3645,1.8153859,0.364
56,0.3576,1.8164622,0.34
57,0.3606,1.805861,0.345
58,0.3644,1.8062396,0.353
59,0.3679,1.794933,0.3535
60,0.3668,1.7910824,0.3575
61,0.3652,1.7895465,0.3555
62,0.368,1.784417,0.361
63,0.366,1.7798454,0.3605
64,0.3664,1.7763412,0.3595
65,0.3746,1.7676977,0.359
66,0.3735,1.7652576,0.362
67,0.3801,1.7622732,0.364
68,0.3806,1.7547253,0.3645
69,0.3777,1.7594649,0.359
70,0.3836,1.7443125,0.3685
71,0.3817,1.7509915,0.372
72,0.3849,1.7387537,0.3685
73,0.3875,1.7498066,0.3745
74,0.3808,1.7397482,0.368
75,0.3888,1.74542,0.378
76,0.3806,1.7648733,0.3625
77,0.3921,1.7184006,0.381
78,0.3844,1.7246363,0.371
79,0.3938,1.7131199,0.3855
80,0.3912,1.7125672,0.379
81,0.39,1.718553,0.3745
82,0.3981,1.7042527,0.381
83,0.3809,1.7223951,0.3595
84,0.3911,1.7054584,0.371
85,0.3895,1.7169822,0.379
86,0.4071,1.6870105,0.385
87,0.3953,1.6945422,0.375
88,0.3929,1.6988645,0.387
89,0.4038,1.6798196,0.3825
90,0.3911,1.7057585,0.357
91,0.3987,1.6798527,0.3745
92,0.4153,1.6636981,0.397
93,0.407,1.6690711,0.385
94,0.4119,1.661771,0.394
95,0.4042,1.6666621,0.3845
96,0.4058,1.6713512,0.393
97,0.4162,1.6515278,0.4045
98,0.4146,1.6528281,0.398
99,0.4101,1.6849049,0.401
100,0.4212,1.6356112,0.3985
101,0.4272,1.6316866,0.418
102,0.41,1.6510144,0.384
103,0.4215,1.630403,0.408
104,0.4231,1.6302775,0.419
105,0.4191,1.6294147,0.3995
106,0.4165,1.6693387,0.4035
107,0.426,1.6169225,0.3975
108,0.4197,1.626366,0.408
109,0.4131,1.6833144,0.4025
110,0.429,1.615503,0.4055
