epoch,test accuracy,entropy_cost
0,0.38857144,1.4628694
1,0.7342857,0.32761824
2,0.76428574,0.08924375
3,0.75714284,0.027411543
4,0.79571426,0.004925893
5,0.8,0.0017338666
6,0.81142855,0.0010704222
7,0.8142857,0.00057758886
8,0.81,0.00040070384
9,0.80714285,0.00029840376
10,0.81142855,0.00024250639
11,0.81142855,0.0002028762
12,0.80857146,0.00017224933
13,0.80857146,0.00014999724
14,0.81,0.00013127405
15,0.81,0.00011600669
16,0.80857146,0.00010327712
17,0.80857146,9.29405e-05
18,0.80857146,8.4139334e-05
19,0.80714285,7.636873e-05
20,0.80857146,6.958095e-05
21,0.80857146,6.421535e-05
22,0.81,5.8807716e-05
23,0.81,5.4013813e-05
24,0.80857146,5.0013023e-05
25,0.81,4.6450645e-05
26,0.81142855,4.3126085e-05
27,0.81,4.0146406e-05
28,0.80857146,3.7613645e-05
29,0.81,3.5078592e-05
30,0.81,3.289967e-05
31,0.81,3.086647e-05
32,0.81,2.9101247e-05
33,0.81,2.7377491e-05
34,0.81,2.584063e-05
35,0.81,2.4449799e-05
36,0.81,2.3220822e-05
37,0.81,2.1953925e-05
38,0.81,2.083073e-05
39,0.81,1.9802015e-05
40,0.81,1.8789842e-05
41,0.81,1.7891214e-05
42,0.81,1.699534e-05
43,0.81,1.6207752e-05
44,0.81,1.5452048e-05
45,0.81,1.4792739e-05
46,0.81,1.4113481e-05
47,0.81,1.3457241e-05
48,0.81,1.289838e-05
49,0.81,1.2366875e-05
50,0.81142855,1.1812347e-05
51,0.81,1.1330221e-05
52,0.81142855,1.0854524e-05
53,0.81142855,1.0411043e-05
54,0.81142855,1.0017983e-05
55,0.81142855,9.605839e-06
56,0.81142855,9.2138125e-06
57,0.81,8.885199e-06
58,0.81285715,8.534191e-06
59,0.81285715,8.208937e-06
60,0.81285715,7.879688e-06
61,0.81142855,7.579967e-06
62,0.81142855,7.2993603e-06
63,0.81142855,7.0305077e-06
64,0.81285715,6.7912506e-06
65,0.81285715,6.538047e-06
66,0.81285715,6.30961e-06
67,0.81285715,6.087219e-06
68,0.81285715,5.873779e-06
69,0.81285715,5.675263e-06
70,0.81285715,5.4775337e-06
71,0.81142855,5.300389e-06
72,0.8142857,5.1112206e-06
73,0.8142857,4.9406735e-06
74,0.8142857,4.7752055e-06
75,0.8142857,4.615311e-06
76,0.8142857,4.4752624e-06
77,0.8142857,4.32854e-06
78,0.81285715,4.195293e-06
79,0.8142857,4.053858e-06
80,0.8142857,3.9271135e-06
81,0.8142857,3.802957e-06
82,0.8142857,3.6826464e-06
83,0.8142857,3.5657713e-06
84,0.8142857,3.4556251e-06
85,0.8142857,3.346604e-06
86,0.8142857,3.247885e-06
87,0.8142857,3.1521165e-06
88,0.8142857,3.0514784e-06
89,0.8142857,2.9632936e-06
90,0.8142857,2.8730503e-06
91,0.8142857,2.7861831e-06
92,0.8142857,2.7022556e-06
93,0.8142857,2.6200576e-06
94,0.8142857,2.54677e-06
95,0.8142857,2.472315e-06
96,0.8142857,2.394541e-06
97,0.8142857,2.326917e-06
98,0.8142857,2.2605705e-06
99,0.8142857,2.1936505e-06
