type,epoch,test accuracy,entropy cost,time taken per epoch
Char CNN,0,0.16,2.4675224,5.950404167175293
Char CNN,1,0.23571429,2.0959623,6.0820558071136475
Char CNN,2,0.2957143,1.7994913,6.171731233596802
Char CNN,3,0.38714287,1.526645,5.868188381195068
Char CNN,4,0.34714285,1.3624977,5.960031270980835
Char CNN,5,0.41142857,1.2106888,5.865630865097046
Char CNN,6,0.4157143,1.0910655,5.899238109588623
Char CNN,7,0.4242857,1.0262945,5.818300724029541
Char CNN,8,0.41428572,0.9321853,5.856082439422607
Char CNN,9,0.41714287,0.85371774,5.829534292221069
Char CNN,10,0.40285715,0.83734655,6.065005540847778
Char CNN,11,0.3942857,0.7959614,6.042226552963257
Char CNN,12,0.40428573,0.8174819,5.900376558303833
Char CNN,13,0.40142858,0.70787007,6.026643753051758
Char CNN,14,0.39285713,0.67349017,5.940841436386108
Char CNN,15,0.39857143,0.66602254,6.019235134124756
Char CNN,16,0.3942857,0.6257192,5.889669895172119
Char CNN,17,0.3857143,0.61223465,5.911643743515015
Char CNN,18,0.38428572,0.5744422,5.903708457946777
Char CNN,19,0.40428573,0.5540271,5.872875213623047
Char CNN,20,0.38285714,0.5519826,6.30401086807251
Char CNN,21,0.37714285,0.5019192,6.325732946395874
Char CNN,22,0.36571428,0.5190324,6.385862588882446
Char CNN,23,0.36857143,0.49465647,6.419232606887817
Char CNN,24,0.37857142,0.52141297,6.30399489402771
Char CNN,25,0.36857143,0.4838025,6.226070165634155
Char CNN,26,0.37428573,0.4787383,6.3800530433654785
Char CNN,27,0.36857143,0.464824,6.253594398498535
Char CNN,28,0.38,0.44255507,6.2150843143463135
Char CNN,29,0.36,0.4153231,6.006449460983276
Char CNN,30,0.36,0.40324244,6.149945020675659
Char CNN,31,0.36571428,0.40021223,6.446337938308716
Char CNN,32,0.35857144,0.39508766,6.617353200912476
Char CNN,33,0.35857144,0.40196475,6.515853643417358
Char CNN,34,0.36285713,0.4034211,6.369534015655518
Char CNN,35,0.35285714,0.39543474,6.150282859802246
Char CNN,36,0.35428572,0.3989202,5.8328773975372314
Char CNN,37,0.35142857,0.385676,6.250355958938599
Char CNN,38,0.36285713,0.40476096,6.073948621749878
Char CNN,39,0.34714285,0.3900521,6.088676691055298
Char CNN,40,0.35857144,0.3996912,6.327088832855225
Char CNN,41,0.36714286,0.3707577,5.861360311508179
Char CNN,42,0.34428573,0.34075582,6.373955011367798
Char CNN,43,0.3557143,0.33042613,6.444766283035278
Char CNN,44,0.33285713,0.3115384,6.3181750774383545
Char CNN,45,0.35142857,0.30688277,6.159302473068237
Char CNN,46,0.35142857,0.36876658,6.114648342132568
Char CNN,47,0.35714287,0.33307594,6.259903907775879
Char CNN,48,0.35857144,0.3107393,6.1970086097717285
Char CNN,49,0.34285715,0.32106712,6.108720541000366
Char CNN,50,0.34857142,0.33882907,5.8336944580078125
Char CNN,51,0.35857144,0.3583919,6.061203479766846
