type,epoch,test accuracy,entropy_cost
GRU Char RNN,0,0.12,2.5581782
GRU Char RNN,1,0.21142857,2.1870708
GRU Char RNN,2,0.29714286,1.9165673
GRU Char RNN,3,0.36142856,1.7087027
GRU Char RNN,4,0.42142856,1.5315673
GRU Char RNN,5,0.45285714,1.392613
GRU Char RNN,6,0.48285714,1.3046184
GRU Char RNN,7,0.5342857,1.1347288
GRU Char RNN,8,0.5857143,1.0406622
GRU Char RNN,9,0.57285714,1.0028125
GRU Char RNN,10,0.60571426,0.926683
GRU Char RNN,11,0.62285715,0.86013883
GRU Char RNN,12,0.63714284,0.7901749
GRU Char RNN,13,0.6642857,0.71587396
GRU Char RNN,14,0.69,0.6592942
GRU Char RNN,15,0.67714286,0.63768405
GRU Char RNN,16,0.69857144,0.58184147
GRU Char RNN,17,0.70857143,0.5520931
GRU Char RNN,18,0.7214286,0.5028949
GRU Char RNN,19,0.7014286,0.50445706
GRU Char RNN,20,0.71,0.49825525
GRU Char RNN,21,0.70428574,0.45282906
GRU Char RNN,22,0.7185714,0.4126191
GRU Char RNN,23,0.71428573,0.45095703
GRU Char RNN,24,0.73142856,0.40293524
GRU Char RNN,25,0.73142856,0.36464238
GRU Char RNN,26,0.7442857,0.34628195
GRU Char RNN,27,0.72571427,0.33119604
GRU Char RNN,28,0.71428573,0.3448575
GRU Char RNN,29,0.7285714,0.29891044
GRU Char RNN,30,0.7285714,0.28930426
GRU Char RNN,31,0.73142856,0.2718747
GRU Char RNN,32,0.7285714,0.31860042
GRU Char RNN,33,0.72571427,0.28325424
GRU Char RNN,34,0.7242857,0.29242247
GRU Char RNN,35,0.74,0.2746359
GRU Char RNN,36,0.73285717,0.2832815
GRU Char RNN,37,0.73285717,0.22234938
GRU Char RNN,38,0.73285717,0.24368393
GRU Char RNN,39,0.72571427,0.2397001
GRU Char RNN,40,0.74142855,0.1982267
GRU Char RNN,41,0.73142856,0.22287044
GRU Char RNN,42,0.7228571,0.25975853
GRU Char RNN,43,0.73571426,0.19947593
GRU Char RNN,44,0.73,0.19279255
GRU Char RNN,45,0.7242857,0.20715769
GRU Char RNN,46,0.7271429,0.15658854
GRU Char RNN,47,0.73,0.24552992
GRU Char RNN,48,0.7171429,0.18962997
GRU Char RNN,49,0.74142855,0.16739373
GRU Char RNN,50,0.7214286,0.23586679
GRU Char RNN,51,0.7285714,0.16822416
GRU Char RNN,52,0.7342857,0.15576868
GRU Char RNN,53,0.72571427,0.15536381
GRU Char RNN,54,0.73571426,0.127696
GRU Char RNN,55,0.7228571,0.11215647
GRU Char RNN,56,0.7128571,0.107234396
GRU Char RNN,57,0.73285717,0.11020945
GRU Char RNN,58,0.73571426,0.15260252
GRU Char RNN,59,0.7442857,0.21732675
GRU Char RNN,60,0.7271429,0.19035594
GRU Char RNN,61,0.73285717,0.13484547
GRU Char RNN,62,0.7442857,0.11823145
GRU Char RNN,63,0.7385714,0.12908189
GRU Char RNN,64,0.73714286,0.114274174
GRU Char RNN,65,0.73285717,0.09501455
GRU Char RNN,66,0.7285714,0.090056814
GRU Char RNN,67,0.70428574,0.4006018
GRU Char RNN,68,0.74142855,0.12705708
GRU Char RNN,69,0.75142854,0.09350675
GRU Char RNN,70,0.73285717,0.08605352
GRU Char RNN,71,0.72571427,0.086692676
GRU Char RNN,72,0.7271429,0.07111973
GRU Char RNN,73,0.7342857,0.1003057
GRU Char RNN,74,0.7457143,0.09770975
GRU Char RNN,75,0.73571426,0.11423299
GRU Char RNN,76,0.7457143,0.06895836
GRU Char RNN,77,0.75,0.05915207
GRU Char RNN,78,0.74285716,0.0504933
GRU Char RNN,79,0.7442857,0.04612348
GRU Char RNN,80,0.7242857,0.13291316
GRU Char RNN,81,0.7342857,0.09551788
GRU Char RNN,82,0.73714286,0.08157021
GRU Char RNN,83,0.73285717,0.10543456
GRU Char RNN,84,0.73285717,0.08823826
GRU Char RNN,85,0.7342857,0.072126806
GRU Char RNN,86,0.74857146,0.10149353
GRU Char RNN,87,0.73285717,0.063727096
GRU Char RNN,88,0.7157143,0.051006563
GRU Char RNN,89,0.72571427,0.08222261
GRU Char RNN,90,0.72571427,0.048760775
GRU Char RNN,91,0.73714286,0.042661063
GRU Char RNN,92,0.73142856,0.0312685
GRU Char RNN,93,0.73142856,0.025515692
GRU Char RNN,94,0.7185714,0.051780198
GRU Char RNN,95,0.7242857,0.062301885
GRU Char RNN,96,0.71,0.120052695
GRU Char RNN,97,0.73285717,0.08870492
GRU Char RNN,98,0.72571427,0.06888376
GRU Char RNN,99,0.73571426,0.06495038
LSTM Char RNN,0,0.12428571,2.5859106
LSTM Char RNN,1,0.18,2.3586125
LSTM Char RNN,2,0.18142857,2.5979042
LSTM Char RNN,3,0.19571428,2.249128
LSTM Char RNN,4,0.20714286,2.2214072
LSTM Char RNN,5,0.092857145,2.5980644
LSTM Char RNN,6,0.09714286,2.5598717
LSTM Char RNN,7,0.114285715,2.5192769
LSTM Char RNN,8,0.15285714,2.466185
LSTM Char RNN,9,0.16142857,2.57051
LSTM Char RNN,10,0.16428572,2.4414682
LSTM Char RNN,11,0.19428572,2.3595965
LSTM Char RNN,12,0.21285714,2.2874396
LSTM Char RNN,13,0.17857143,2.3845417
LSTM Char RNN,14,0.17571428,2.2673337
LSTM Char RNN,15,0.21571429,2.1900349
LSTM Char RNN,16,0.23285714,2.1254814
LSTM Char RNN,17,0.25857142,2.0538204
LSTM Char RNN,18,0.27857143,1.9819036
LSTM Char RNN,19,0.27714285,1.9372346
LSTM Char RNN,20,0.28142858,1.8990539
LSTM Char RNN,21,0.32428572,1.8299195
LSTM Char RNN,22,0.33571428,1.8096962
LSTM Char RNN,23,0.33714285,1.7496183
LSTM Char RNN,24,0.3557143,1.6855348
LSTM Char RNN,25,0.38,1.6708804
LSTM Char RNN,26,0.37571427,1.6208378
LSTM Char RNN,27,0.35285714,1.6735824
LSTM Char RNN,28,0.39571428,1.5523365
LSTM Char RNN,29,0.40714285,1.4948459
LSTM Char RNN,30,0.38142857,1.5652016
LSTM Char RNN,31,0.42,1.4486412
LSTM Char RNN,32,0.43714285,1.3855247
LSTM Char RNN,33,0.44714287,1.3659542
LSTM Char RNN,34,0.43571427,1.3503908
LSTM Char RNN,35,0.47428572,1.3210585
LSTM Char RNN,36,0.4542857,1.3016847
LSTM Char RNN,37,0.47428572,1.3113719
LSTM Char RNN,38,0.47714287,1.2763761
LSTM Char RNN,39,0.47,1.2518934
LSTM Char RNN,40,0.49,1.2243793
LSTM Char RNN,41,0.47428572,1.1926585
LSTM Char RNN,42,0.48,1.1663816
LSTM Char RNN,43,0.49285713,1.1563733
LSTM Char RNN,44,0.49142858,1.1297572
LSTM Char RNN,45,0.48714286,1.1244947
LSTM Char RNN,46,0.49571428,1.0929234
LSTM Char RNN,47,0.5114286,1.0675222
LSTM Char RNN,48,0.5114286,1.0250863
LSTM Char RNN,49,0.5214286,1.0605437
LSTM Char RNN,50,0.5371429,1.0033991
LSTM Char RNN,51,0.5314286,0.9915909
LSTM Char RNN,52,0.5228571,1.0475664
LSTM Char RNN,53,0.55,0.96940315
LSTM Char RNN,54,0.54714286,0.95101875
LSTM Char RNN,55,0.5314286,0.97112864
LSTM Char RNN,56,0.52428573,0.99105626
LSTM Char RNN,57,0.57857144,0.91706437
LSTM Char RNN,58,0.54714286,0.93640244
LSTM Char RNN,59,0.56285715,0.8740299
LSTM Char RNN,60,0.57,0.85850585
LSTM Char RNN,61,0.56714284,0.8799911
LSTM Char RNN,62,0.57285714,0.8626988
LSTM Char RNN,63,0.57,0.81595844
LSTM Char RNN,64,0.6,0.8136084
LSTM Char RNN,65,0.5657143,0.8188032
LSTM Char RNN,66,0.57857144,0.7650725
LSTM Char RNN,67,0.5857143,0.75540626
LSTM Char RNN,68,0.56714284,0.85664165
LSTM Char RNN,69,0.58285713,0.7452608
LSTM Char RNN,70,0.59,0.747779
LSTM Char RNN,71,0.57714283,0.71399075
LSTM Char RNN,72,0.5971429,0.7122662
LSTM Char RNN,73,0.5914286,0.7074564
LSTM Char RNN,74,0.59,0.690606
LSTM Char RNN,75,0.60142857,0.69593
LSTM Char RNN,76,0.60714287,0.7079352
LSTM Char RNN,77,0.5914286,0.6811102
LSTM Char RNN,78,0.60142857,0.66699374
LSTM Char RNN,79,0.60142857,0.68186074
LSTM Char RNN,80,0.62,0.70851666
LSTM Char RNN,81,0.6257143,0.6443212
LSTM Char RNN,82,0.6085714,0.6818673
LSTM Char RNN,83,0.5971429,0.6467393
LSTM Char RNN,84,0.60142857,0.63699526
LSTM Char RNN,85,0.60571426,0.62462723
LSTM Char RNN,86,0.60714287,0.635885
LSTM Char RNN,87,0.61,0.6308017
