type,epoch,test accuracy,entropy_cost
Char RNN Vanilla,0,0.108571425,2.5914998
Char RNN Vanilla,1,0.114285715,2.5615265
Char RNN Vanilla,2,0.108571425,2.5317986
Char RNN Vanilla,3,0.12,2.5689187
Char RNN Vanilla,4,0.114285715,2.453671
Char RNN Vanilla,5,0.11571429,2.4447114
Char RNN Vanilla,6,0.10428572,2.4550066
Char RNN Vanilla,7,0.10285714,2.4793959
Char RNN Vanilla,8,0.14,2.3620026
Char RNN Vanilla,9,0.10428572,2.4573758
Char RNN Vanilla,10,0.13,2.4510157
Char RNN Vanilla,11,0.122857146,2.3913002
Char RNN Vanilla,12,0.13,2.3703423
Char RNN Vanilla,13,0.117142856,2.3834336
Char RNN Vanilla,14,0.13,2.3391128
Char RNN Vanilla,15,0.111428574,2.400609
Char RNN Vanilla,16,0.12142857,2.4141686
Char RNN Vanilla,17,0.111428574,2.461434
Char RNN Vanilla,18,0.10428572,2.4779513
Char RNN Vanilla,19,0.122857146,2.4038057
Char RNN Vanilla,20,0.1,2.443365
Char RNN Vanilla,21,0.12,2.3851762
Char RNN Vanilla,22,0.10428572,2.615019
Char RNN Vanilla,23,0.09,2.5723996
Char RNN Vanilla,24,0.095714286,2.5623841
Char RNN Vanilla,25,0.087142855,2.5414243
Char RNN Vanilla,26,0.08142857,2.528091
Char RNN Vanilla,27,0.084285714,2.5227802
Char RNN Vanilla,28,0.09,2.5100415
Char RNN Vanilla,29,0.09714286,2.4967027
Char RNN Vanilla,30,0.09714286,2.5222871
Char RNN Vanilla,31,0.1,2.4769967
Char RNN Vanilla,32,0.09857143,2.4950337
Char RNN Vanilla,33,0.087142855,2.4654543
Char RNN Vanilla,34,0.10285714,2.416711
Char RNN Vanilla,35,0.09714286,2.4385166
Char RNN Vanilla,36,0.10142857,2.4097903
Char RNN Vanilla,37,0.10285714,2.7543013
Char RNN Vanilla,38,0.08285714,2.6228783
Char RNN Vanilla,39,0.08285714,2.6134446
Char RNN Vanilla,40,0.087142855,2.6775942
Char RNN Vanilla,41,0.08,2.6019928
Char RNN Vanilla,42,0.087142855,2.616458
Char RNN Vanilla,43,0.10142857,2.5902987
Char RNN Vanilla,44,0.09142857,2.5930097
Char RNN Vanilla,45,0.08571429,2.590103
Char RNN Vanilla,46,0.087142855,2.5882418
Char RNN Vanilla,47,0.1,2.579195
Char RNN Vanilla,48,0.1,2.5926898
Char RNN Vanilla,49,0.092857145,2.5731134
Char RNN Vanilla,50,0.09428571,2.569021
Char RNN Vanilla,51,0.09714286,2.5671556
Char RNN Vanilla,52,0.11285714,2.574383
Char RNN Vanilla,53,0.10428572,2.565582
Char RNN Vanilla,54,0.09857143,2.5847175
Char RNN Vanilla,55,0.108571425,2.5670307
Char RNN Vanilla,56,0.10142857,2.564417
Char RNN Vanilla,57,0.10714286,2.5654118
Char RNN Vanilla,58,0.105714284,2.565628
Char RNN Vanilla,59,0.1,2.559755
Char RNN Vanilla,60,0.105714284,2.5582864
Char RNN Vanilla,61,0.105714284,2.5551424
