type,epoch,test accuracy,entropy_cost
LSTM Char RNN,0,0.10285714,2.5556161
LSTM Char RNN,1,0.13,2.5588565
LSTM Char RNN,2,0.13,2.5516548
LSTM Char RNN,3,0.17,2.4602578
LSTM Char RNN,4,0.10142857,2.6017456
LSTM Char RNN,5,0.117142856,2.5453773
LSTM Char RNN,6,0.07857143,2.993299
LSTM Char RNN,7,0.16,2.4749377
LSTM Char RNN,8,0.17,2.449136
LSTM Char RNN,9,0.12428571,2.520233
LSTM Char RNN,10,0.14,2.5291128
LSTM Char RNN,11,0.16571428,2.445147
LSTM Char RNN,12,0.20142858,2.4482431
LSTM Char RNN,13,0.14857143,2.415646
LSTM Char RNN,14,0.24142857,2.134214
LSTM Char RNN,15,0.27857143,1.9686785
LSTM Char RNN,16,0.33285713,1.7948368
LSTM Char RNN,17,0.34857142,1.6904448
LSTM Char RNN,18,0.41857144,1.5682018
LSTM Char RNN,19,0.41142857,1.519376
LSTM Char RNN,20,0.45857143,1.390509
LSTM Char RNN,21,0.46714285,1.3020326
LSTM Char RNN,22,0.5214286,1.215471
LSTM Char RNN,23,0.52428573,1.1698627
LSTM Char RNN,24,0.57,1.0779554
LSTM Char RNN,25,0.56714284,1.0330802
LSTM Char RNN,26,0.62,0.94425714
LSTM Char RNN,27,0.62,0.9285877
LSTM Char RNN,28,0.6185714,0.9053249
LSTM Char RNN,29,0.6414286,0.8426242
LSTM Char RNN,30,0.6557143,0.79309434
LSTM Char RNN,31,0.67,0.73335063
LSTM Char RNN,32,0.6585714,0.7468237
LSTM Char RNN,33,0.68857145,0.7064451
LSTM Char RNN,34,0.6757143,0.68820417
LSTM Char RNN,35,0.68285716,0.65708613
LSTM Char RNN,36,0.71428573,0.6085805
LSTM Char RNN,37,0.6957143,0.557906
LSTM Char RNN,38,0.69714284,0.5423558
LSTM Char RNN,39,0.7128571,0.5025909
LSTM Char RNN,40,0.72,0.49274737
LSTM Char RNN,41,0.7385714,0.46218252
LSTM Char RNN,42,0.7228571,0.44477382
