iter,tr-acc,te-acc
0,0.79032385,0.7903419
1,0.79032385,0.7903419
2,0.79032385,0.7903419
3,0.79032385,0.7903419
4,0.79032385,0.7903419
5,0.79032385,0.7903419
6,0.79032385,0.7903419
7,0.7909955,0.7930355
8,0.792171,0.7937089
9,0.79368234,0.7950557
10,0.7943537,0.7964025
11,0.79888844,0.7977516
12,0.8000636,0.80246085
13,0.8047677,0.80313426
14,0.815855,0.81321716
15,0.8188804,0.8145572
16,0.8259374,0.8253113
17,0.83601743,0.83338296
18,0.84643567,0.8468126
19,0.84660304,0.8448014
20,0.8513096,0.84815484
21,0.86038285,0.85823333
22,0.86458206,0.86024904
23,0.87180674,0.86628926
24,0.8696233,0.86292905
25,0.871302,0.8609179
26,0.8773508,0.86964273
27,0.8755022,0.8730052
28,0.87684745,0.87234086
29,0.87886477,0.87165844
30,0.87987244,0.87367857
31,0.8797045,0.87972564
32,0.8792006,0.8750186
33,0.88088,0.8790501
34,0.88188803,0.8770343
35,0.88272893,0.8803946
36,0.88272953,0.88039005
37,0.88054407,0.87837887
38,0.8825611,0.8797166
39,0.88390523,0.8756943
40,0.8852488,0.88106805
41,0.88575286,0.87837887
42,0.8842413,0.88509256
43,0.88608855,0.88577497
44,0.8859211,0.88107026
45,0.8872653,0.88375026
46,0.8884409,0.8830859
47,0.8891137,0.88240796
48,0.88928145,0.887115
49,0.8881053,0.8864416
50,0.8902895,0.88173455
51,0.8899528,0.8830813
52,0.88961756,0.88375485
53,0.8918009,0.88711053
54,0.8904567,0.88643706
55,0.8911293,0.88509256
56,0.89213735,0.88845956
57,0.8906255,0.8864416
58,0.8921378,0.8877862
59,0.89112914,0.8884573
60,0.89381725,0.8897996
61,0.8939856,0.88979733
62,0.89465696,0.8904662
63,0.89448947,0.887115
64,0.89600146,0.88441455
65,0.8956655,0.8897995
66,0.89566594,0.8904685
67,0.89482576,0.8891307
68,0.8961692,0.88509023
69,0.89600086,0.88844377
70,0.89549714,0.8891239
71,0.8956664,0.8904684
72,0.8954975,0.893153
73,0.8983533,0.8871015
74,0.89734614,0.889115
75,0.89633787,0.8924819
76,0.89667356,0.89046395
77,0.8985216,0.8918039
78,0.8985218,0.8904638
79,0.89784956,0.89046174
80,0.89751375,0.8897928
81,0.898018,0.8870969
82,0.89768183,0.8918107
83,0.90137786,0.89180624
84,0.89885795,0.88979053
85,0.90003455,0.8924796
86,0.8993617,0.89113057
87,0.8995296,0.8918017
88,0.90036964,0.88642806
89,0.90003335,0.89113057
90,0.90020216,0.8904594
91,0.90120983,0.8897837
92,0.89919436,0.89314854
93,0.901042,0.89180166
94,0.8998662,0.89180166
95,0.90255374,0.8924683
96,0.90003395,0.88978827
97,0.9002021,0.8904616
98,0.8985224,0.8911373
99,0.9000333,0.8918017
100,0.8990259,0.89247286
101,0.9020499,0.8951596
102,0.90104187,0.8918084
103,0.9028897,0.89449084
104,0.8998659,0.8951664
105,0.90120965,0.88911486
