iter,tr-acc,te-acc,time
0,0.7903226,0.7507837,0.11085677146911621
1,0.7903226,0.7507837,0.07477521896362305
2,0.7903226,0.7507837,0.07280540466308594
3,0.7903226,0.7507837,0.07280492782592773
4,0.7903226,0.7507837,0.07382893562316895
5,0.7903226,0.7507837,0.07178211212158203
6,0.7903226,0.7507837,0.0718083381652832
7,0.7903226,0.7507837,0.07380247116088867
8,0.79099464,0.7507837,0.07480049133300781
9,0.79771507,0.75391847,0.07380247116088867
10,0.8158602,0.77742946,0.07380175590515137
11,0.8219086,0.78526646,0.07380294799804688
12,0.8461022,0.80721,0.07480025291442871
13,0.84744626,0.80721,0.07380270957946777
14,0.8635753,0.8181818,0.07579708099365234
15,0.85685486,0.81191224,0.07438111305236816
16,0.8770161,0.8291536,0.07380247116088867
17,0.87768817,0.8322884,0.07380318641662598
18,0.8763441,0.8322884,0.07579684257507324
19,0.8689516,0.8291536,0.07535719871520996
20,0.8797043,0.8557994,0.07431650161743164
21,0.88373655,0.8416928,0.07779169082641602
22,0.8830645,0.84639496,0.07482552528381348
23,0.8857527,0.8557994,0.07377743721008301
24,0.88709676,0.85423195,0.07679438591003418
25,0.88709676,0.85893416,0.07380270957946777
26,0.8864247,0.85893416,0.07579827308654785
27,0.8891129,0.86206895,0.07380175590515137
28,0.890457,0.86206895,0.07280540466308594
29,0.88844085,0.86520374,0.07380270957946777
30,0.8877688,0.8636364,0.07280516624450684
31,0.88978493,0.86677116,0.0747992992401123
32,0.89314514,0.8636364,0.0728151798248291
33,0.88978493,0.87304074,0.0708014965057373
34,0.8938172,0.86990595,0.07380270957946777
35,0.8944892,0.86520374,0.07254743576049805
36,0.8944892,0.87304074,0.07379341125488281
37,0.8944892,0.8714734,0.07335019111633301
38,0.89784944,0.8761755,0.07577204704284668
39,0.89314514,0.87931037,0.07480025291442871
40,0.8958333,0.87931037,0.07480001449584961
41,0.89986557,0.86990595,0.07334208488464355
42,0.891129,0.86520374,0.07436442375183105
43,0.8991935,0.88087773,0.07430744171142578
44,0.89986557,0.87460816,0.07480025291442871
45,0.89650536,0.8761755,0.07779169082641602
46,0.8971774,0.88087773,0.07480025291442871
47,0.8971774,0.88087773,0.07579660415649414
