iter,tr-acc,te-acc
0,0.7904917,0.7903419
1,0.79032385,0.7903419
2,0.79032385,0.7903419
3,0.79032385,0.7903419
4,0.79032385,0.7903419
5,0.79032385,0.7903419
6,0.79032385,0.7903419
7,0.79032385,0.7903419
8,0.79032385,0.7903419
9,0.79032385,0.7903419
10,0.79032385,0.7903419
11,0.79032385,0.7903419
12,0.79032385,0.7903419
13,0.79032385,0.7903419
14,0.79032385,0.7903419
15,0.79032385,0.7903419
16,0.79032385,0.7903419
17,0.79032385,0.7903419
18,0.79032385,0.7903419
19,0.79032385,0.7903419
20,0.79032385,0.7903419
21,0.7904917,0.7903419
22,0.79065967,0.7903419
23,0.79065967,0.7903419
24,0.79065967,0.7903419
25,0.7908276,0.7903419
26,0.7908276,0.7903419
27,0.7908276,0.7903419
28,0.7913314,0.7923621
29,0.7913314,0.7923621
30,0.79116344,0.7923621
31,0.79166716,0.7923621
32,0.79233897,0.7930355
33,0.7931788,0.7943823
34,0.79435474,0.79572684
35,0.7951945,0.79707366
36,0.796034,0.79707366
37,0.79821795,0.797747
38,0.79939383,0.79774475
39,0.800402,0.7990916
40,0.80073816,0.801105
41,0.80275404,0.801105
42,0.8037616,0.8024519
43,0.8064498,0.8017807
44,0.80779374,0.8024541
45,0.8106495,0.8037987
46,0.81132114,0.80446976
47,0.81367314,0.80850565
48,0.8151852,0.80984795
49,0.81686544,0.8132081
50,0.8192177,0.81455487
51,0.8214008,0.81455487
52,0.8242564,0.81657064
53,0.82627296,0.8172418
54,0.82744867,0.8172418
55,0.8282892,0.81724405
56,0.8294648,0.81791514
57,0.83097667,0.81858623
58,0.83232105,0.81925964
59,0.83349764,0.8212776
60,0.8346734,0.8239645
61,0.837026,0.8279936
62,0.8378662,0.8293382
63,0.8388742,0.83135605
64,0.8393785,0.83135605
65,0.8418991,0.83202493
66,0.8432431,0.8347163
67,0.84475553,0.83538294
68,0.8452595,0.8374008
69,0.8466037,0.8407588
70,0.84811544,0.8434456
71,0.8479482,0.8454636
72,0.84878796,0.8441167
73,0.85080403,0.8494972
74,0.8538288,0.8494972
75,0.8543331,0.84882385
76,0.85651743,0.8501638
77,0.8578615,0.85016614
78,0.8576934,0.8501638
79,0.8587018,0.8541974
80,0.8592061,0.8548663
81,0.86038226,0.85553753
82,0.8602141,0.853524
83,0.8613905,0.8575531
84,0.8627347,0.8582243
85,0.86340666,0.8588977
86,0.8660946,0.8615891
87,0.86592686,0.8609112
88,0.8665991,0.86158
89,0.86659944,0.86427134
90,0.8669354,0.86426914
91,0.86794347,0.86628705
92,0.86911964,0.86763155
93,0.86962414,0.8662847
94,0.8714713,0.869645
95,0.8708,0.86964273
96,0.8714716,0.87031615
97,0.8723119,0.8716629
98,0.87348783,0.873003
99,0.873824,0.8730052
100,0.87315214,0.87232953
101,0.87332,0.87232953
102,0.87416,0.8750164
103,0.87466365,0.87300074
104,0.87516797,0.8750186
105,0.87466395,0.8723272
106,0.87550414,0.8729984
107,0.8758394,0.8750164
108,0.8749998,0.8750164
109,0.8748317,0.8743452
110,0.87567186,0.8736741
111,0.8763436,0.8756898
112,0.8755037,0.8750164
113,0.87567157,0.8756875
114,0.87667954,0.8750164
115,0.8768476,0.8756898
116,0.8770156,0.8763609
117,0.8765117,0.87703437
118,0.87667954,0.8790523
119,0.8775195,0.8790523
120,0.8771842,0.8790523
121,0.8776883,0.8824147
122,0.8780243,0.88039684
123,0.87768805,0.88107026
124,0.8785288,0.87972564
125,0.8793684,0.8837593
126,0.8802083,0.8844304
127,0.8783598,0.882417
128,0.87869626,0.88039684
129,0.8802082,0.88106793
130,0.8817207,0.8837593
131,0.88088036,0.8810724
132,0.88004,0.8803991
133,0.8812168,0.88106793
134,0.8822249,0.8824147
135,0.88205683,0.8830859
136,0.8825612,0.88308364
137,0.8825611,0.88241255
138,0.8815529,0.8824102
139,0.8825611,0.882417
140,0.8817209,0.8844304
141,0.8822249,0.8844304
142,0.882057,0.8851015
143,0.8827294,0.8837593
144,0.8822249,0.8857727
145,0.8828975,0.8864461
146,0.8823935,0.8844304
147,0.88222504,0.8851038
148,0.8832328,0.8850993
149,0.8823929,0.8857727
150,0.8834013,0.8857727
151,0.88407314,0.88509715
152,0.8828969,0.8857727
153,0.8830652,0.88711727
154,0.8837374,0.8850993
155,0.8832331,0.8864439
156,0.88407326,0.8857705
157,0.8828974,0.8844236
158,0.88390523,0.88442594
159,0.8834011,0.8857705
160,0.88373697,0.88509715
161,0.8842411,0.8864439
162,0.88474524,0.8850993
163,0.88440895,0.8857705
164,0.88575286,0.88442594
165,0.88608915,0.88442594
166,0.8855853,0.8844282
167,0.88608897,0.88375485
168,0.8860892,0.8824148
169,0.88491327,0.885097
170,0.88491356,0.8830837
171,0.8855852,0.8830792
172,0.8864253,0.8817369
173,0.88592136,0.88375247
174,0.88659346,0.88442594
175,0.8862573,0.88509715
176,0.88659346,0.8817369
177,0.88575304,0.88375485
178,0.8855853,0.88442147
179,0.8864254,0.8850948
180,0.8855853,0.8817369
181,0.8860892,0.88106793
182,0.8860892,0.88577497
183,0.88541734,0.8864461
184,0.8865932,0.8844236
185,0.8864258,0.88375247
186,0.88726556,0.8844236
187,0.8870975,0.8857727
188,0.8865935,0.8844236
189,0.88676167,0.88577044
190,0.8867615,0.88375247
191,0.88676167,0.88577044
192,0.8869297,0.8857727
193,0.88676137,0.8850993
194,0.8870972,0.88509715
195,0.88659364,0.8850993
196,0.8872657,0.88442594
197,0.8877696,0.88375473
198,0.8877691,0.8851015
199,0.8892814,0.8864439
200,0.88793755,0.8850993
201,0.8891136,0.88442594
202,0.8891134,0.88375473
203,0.88844204,0.88509715
204,0.88860923,0.8830837
205,0.88877743,0.8850993
206,0.8889454,0.8851038
207,0.8891136,0.8851016
208,0.88877773,0.8844305
209,0.8894495,0.8830837
210,0.88995373,0.88509715
211,0.8907932,0.88442594
212,0.88995326,0.88241255
213,0.8891139,0.8844327
214,0.8889457,0.8837616
215,0.8892816,0.8857727
216,0.8911296,0.88509715
217,0.8897861,0.8884595
218,0.89012176,0.88711727
219,0.89062536,0.8844282
220,0.89012206,0.88845956
221,0.89146584,0.8891307
222,0.89045745,0.8877861
223,0.8899538,0.88845956
224,0.8902899,0.8877884
225,0.89096165,0.8871195
226,0.89045763,0.8884641
227,0.89129764,0.8850993
228,0.89180195,0.88845956
229,0.8907938,0.8877862
230,0.89129764,0.88845956
231,0.8911298,0.887115
