iter,tr-acc,te-acc
0,0.78141624,0.7849728
1,0.79032385,0.7903419
2,0.79032385,0.7903419
3,0.79032385,0.7903419
4,0.79032385,0.7903419
5,0.79032385,0.7903419
6,0.79032385,0.7903419
7,0.79032385,0.7903419
8,0.79032385,0.7903419
9,0.79032385,0.7903419
10,0.79032385,0.7903419
11,0.79032385,0.7903419
12,0.79032385,0.7903419
13,0.79032385,0.7903419
14,0.79032385,0.7903419
15,0.79032385,0.7903419
16,0.79032385,0.7903419
17,0.79032385,0.7903419
18,0.79032385,0.7903419
19,0.79032385,0.7903419
20,0.79032385,0.7903419
21,0.79032385,0.7903419
22,0.79032385,0.7903419
23,0.79032385,0.7903419
24,0.79032385,0.7903419
25,0.79032385,0.7903419
26,0.79032385,0.7903419
27,0.79032385,0.7903419
28,0.79032385,0.7903419
29,0.79032385,0.7903419
30,0.79032385,0.7903419
31,0.79032385,0.7903419
32,0.79032385,0.7903419
33,0.79032385,0.7903419
34,0.79032385,0.7903419
35,0.79032385,0.7903419
36,0.79032385,0.7903419
37,0.7901557,0.79101306
38,0.79032385,0.79101306
39,0.79082805,0.7916842
40,0.7911641,0.79235536
41,0.7920039,0.79235536
42,0.79301184,0.79235536
43,0.79351604,0.79235536
44,0.7946922,0.7936976
45,0.7955325,0.79235536
46,0.7973809,0.7930287
47,0.79922897,0.7963912
48,0.80124503,0.79907805
49,0.80225295,0.80042255
50,0.80410135,0.8010982
51,0.8062852,0.80109596
52,0.8076292,0.80244046
53,0.81082135,0.80580294
54,0.8114932,0.807821
55,0.81350887,0.81185454
56,0.8163643,0.81387025
57,0.8178771,0.81521255
58,0.8182131,0.81789935
59,0.8200611,0.8172282
60,0.8224133,0.8172282
61,0.82476586,0.8205862
62,0.82594174,0.8212573
63,0.8277892,0.82394636
64,0.8299737,0.82461977
65,0.8314853,0.82461977
66,0.8356845,0.82664
67,0.8360208,0.82798225
68,0.8375329,0.8306691
69,0.83854085,0.8326848
70,0.8395489,0.832687
71,0.84156466,0.8340316
72,0.8440838,0.83604956
73,0.84425277,0.83739173
74,0.84744465,0.83873636
75,0.8481166,0.8394097
76,0.8504694,0.8414277
77,0.85147715,0.8427745
78,0.8526537,0.8461302
79,0.85366154,0.84680367
80,0.8556781,0.8494927
81,0.85685414,0.8501638
82,0.8575264,0.8501638
83,0.8570223,0.8494927
84,0.8581985,0.8528552
85,0.85937464,0.8521795
86,0.8610548,0.853524
87,0.8612226,0.8562132
88,0.8618946,0.8582266
89,0.8623986,0.8568843
90,0.8640788,0.8568843
91,0.8649193,0.8588977
92,0.8657595,0.86024
93,0.8665994,0.86158675
94,0.8662634,0.86158675
95,0.86727095,0.8629314
96,0.8682793,0.8629314
97,0.86878383,0.86158687
98,0.8696232,0.8629314
99,0.8704632,0.86360246
100,0.87079966,0.8656181
101,0.87214315,0.86494476
102,0.87264764,0.86561596
103,0.8733195,0.8669604
104,0.8731514,0.8662847
105,0.8733196,0.86695594
106,0.8736556,0.8683027
107,0.87331945,0.86695594
108,0.8744957,0.86762935
109,0.8736559,0.86695594
110,0.87416,0.86829823
111,0.8739921,0.86830044
112,0.8741597,0.86964047
113,0.8741597,0.87098503
114,0.87432766,0.86964273
115,0.8758399,0.87232953
116,0.875672,0.8730029
117,0.87617606,0.8730052
118,0.8763442,0.8716607
119,0.87701625,0.8716629
120,0.8766802,0.87367857
121,0.87617624,0.8730052
122,0.8768485,0.87367857
123,0.87684834,0.87367857
124,0.8766802,0.8743521
125,0.87651193,0.8743521
126,0.87768805,0.8756943
127,0.8771842,0.8750232
128,0.8771844,0.8750232
129,0.8776881,0.875692
130,0.8776882,0.8770388
131,0.87701625,0.8743521
132,0.87684786,0.87636536
133,0.8778564,0.87771225
134,0.87819177,0.875021
135,0.8781926,0.87838334
136,0.8785283,0.87636995
137,0.87718403,0.87704116
138,0.87920016,0.87704116
139,0.87869644,0.87838334
140,0.8785284,0.87838334
141,0.87920046,0.87704116
142,0.8792006,0.87972564
143,0.880041,0.87972564
