iter,tr-acc,te-acc
0,0.28792283,0.28158325
250,0.01108055,0.008441921
500,0.009164856,0.0075580548
750,0.0085892035,0.0075086476
1000,0.008280046,0.007481384
1250,0.008037696,0.007471745
1500,0.007858235,0.007448024
1750,0.00770552,0.007400265
2000,0.007567655,0.0073336265
2250,0.0074436124,0.0072586276
2500,0.007331347,0.0071902256
2750,0.0072229896,0.0071125943
3000,0.0071204426,0.007041633
3250,0.007023159,0.0069737355
3500,0.006932857,0.0069139167
3750,0.006838143,0.0068573123
4000,0.006749196,0.0068072043
4250,0.006665351,0.0067572957
4500,0.006584757,0.006711973
4750,0.0065080496,0.0066617723
5000,0.006435586,0.0066160657
5250,0.006366723,0.006572569
5500,0.006301333,0.006529947
5750,0.0062385993,0.0064878413
6000,0.006178174,0.006445752
6250,0.006120152,0.006411108
6500,0.006063657,0.0063726786
6750,0.006009496,0.006334318
7000,0.0059572514,0.0062936447
7250,0.0059069498,0.006257684
7500,0.005857965,0.006221171
7750,0.0058107628,0.0061911186
8000,0.0057649175,0.006156755
8250,0.005720147,0.0061271535
8500,0.00567804,0.006095665
8750,0.005637447,0.0060688397
9000,0.005597143,0.0060433
9250,0.0055579245,0.0060161417
9500,0.0055191843,0.0059885695
9750,0.0054816753,0.0059629586
