drop_column,iter,tr-loss,te-loss
0,0,0.10155827,0.09981309
1,0,0.026030995,0.070225835
2,0,0.032744214,0.07302974
3,0,0.042821214,0.05156812
4,0,0.04616826,0.045796737
5,0,0.032741196,0.047417406
6,0,0.048684593,0.052154645
0,1,0.010795373,0.03490634
1,1,0.013425906,0.033468056
2,1,0.018814787,0.041449822
3,1,0.02860548,0.036369663
4,1,0.036074158,0.03656203
5,1,0.028071329,0.043419905
6,1,0.047754534,0.051965833
0,2,0.010572325,0.034250446
1,2,0.012962603,0.03289021
2,2,0.018340986,0.04078394
3,2,0.027706208,0.035847105
4,2,0.03508543,0.0360056
5,2,0.026946325,0.043214034
6,2,0.046826717,0.051680803
0,3,0.010450426,0.033669025
1,3,0.012628565,0.03238
2,3,0.017938066,0.040167972
3,3,0.026896112,0.03537248
4,3,0.03420109,0.035499994
5,3,0.025916576,0.042988177
6,3,0.045899894,0.05132961
0,4,0.010383353,0.033133287
1,4,0.0123696625,0.03191208
2,4,0.017576236,0.03957984
3,4,0.026151733,0.03492943
4,4,0.03339212,0.035029314
5,4,0.024958633,0.04275082
6,4,0.044980787,0.05092104
0,5,0.010346822,0.032632202
1,5,0.012156124,0.031473536
2,5,0.017241152,0.03901328
3,5,0.025461089,0.03451
4,5,0.03264209,0.03458549
5,5,0.024059895,0.042504758
6,5,0.044076893,0.050476857
0,6,0.010327604,0.032157697
1,6,0.011970972,0.031057376
2,6,0.01692556,0.038468443
3,6,0.024817118,0.03411003
4,6,0.031940795,0.034163885
5,6,0.023213025,0.042255163
6,6,0.04319375,0.050021857
0,7,0.010321546,0.0317054
1,7,0.011807744,0.030659841
2,7,0.016626567,0.037926562
3,7,0.02420911,0.03372811
4,7,0.03128488,0.033762705
5,7,0.0224138,0.042006865
6,7,0.04233534,0.04956461
0,8,0.010323716,0.031270396
1,8,0.011658983,0.030278085
2,8,0.016341217,0.037403215
3,8,0.023639146,0.03336172
4,8,0.030665854,0.033378884
5,8,0.02165756,0.04175365
6,8,0.041504536,0.04911302
0,9,0.0103289075,0.030851893
1,9,0.0115184095,0.029910117
2,9,0.016067673,0.036898077
3,9,0.023104865,0.033009373
4,9,0.03007974,0.033010833
5,9,0.02094117,0.041495617
6,9,0.040702242,0.048669253
0,10,0.010335524,0.03044854
1,10,0.011383867,0.029552817
2,10,0.015804887,0.03641002
3,10,0.02260317,0.03266994
4,10,0.029523246,0.03265722
5,10,0.02026185,0.04124112
6,10,0.039928548,0.04823436
0,11,0.010342553,0.030059133
1,11,0.01125402,0.029205984
2,11,0.01555205,0.03593839
3,11,0.022131253,0.032342482
4,11,0.028993646,0.03231616
5,11,0.019617181,0.040992647
6,11,0.039183076,0.047808565
0,12,0.010349335,0.029682752
1,12,0.011128039,0.028870013
2,12,0.015308546,0.035492085
3,12,0.02168665,0.032026205
4,12,0.02848863,0.03198761
5,12,0.01900493,0.04075038
6,12,0.03846505,0.047394175
0,13,0.010355462,0.029313238
1,13,0.011005397,0.028544268
2,13,0.015073812,0.035060238
3,13,0.02126703,0.031720404
4,13,0.028006174,0.031670593
5,13,0.018423103,0.040514335
6,13,0.03777358,0.046991292
0,14,0.010360679,0.028955158
1,14,0.010885809,0.02822825
2,14,0.014847409,0.03464216
3,14,0.020870334,0.03142444
4,14,0.027544562,0.031364385
5,14,0.017869871,0.040280923
