iter,3layer-loss,4layer-loss,4layer-dropout-loss,5layer-loss,5layer-dropout-loss
0,0.43347418,0.2667523,0.32975373,0.36190486,0.39288905
1,0.2066332,0.19016008,0.22200221,0.25629613,0.2956818
2,0.14304139,0.15864491,0.18245752,0.19620883,0.24265939
3,0.12186515,0.14376238,0.17916474,0.16418141,0.23097362
4,0.11246441,0.13471472,0.15490511,0.14710833,0.20233148
5,0.106638886,0.12829885,0.142975,0.13741368,0.17356977
6,0.101940125,0.122865066,0.14756107,0.13133807,0.16968672
7,0.09781213,0.11810735,0.13217717,0.12684947,0.16312407
8,0.0940632,0.11375271,0.124994434,0.12311987,0.18354654
9,0.09076142,0.10975447,0.13932785,0.11979906,0.17171574
